年份,地点,情景,制冷剂,Unit_LCTR_pK
2032,乌鲁木齐,ssp126,R290,0.4114534399627677
2032,乌鲁木齐,ssp245,R410A,0.9933887374924202
2032,乌鲁木齐,ssp245,R32,0.5023657116712148
2032,乌鲁木齐,ssp245,R290,0.4523445162568396
2032,乌鲁木齐,ssp585,R410A,1.025951350128937
2032,乌鲁木齐,ssp585,R32,0.5333761690459238
2032,乌鲁木齐,ssp585,R290,0.4820368416156783
2032,拉萨,ssp126,R410A,0.594093191777748
2032,拉萨,ssp126,R32,0.126791260113264
2032,拉萨,ssp126,R290,0.06695124821718798
2032,拉萨,ssp245,R410A,0.594093191777748
2032,拉萨,ssp245,R32,0.126791260113264
2032,拉萨,ssp245,R290,0.06695124821718798
2032,拉萨,ssp585,R410A,0.594093191777748
2032,拉萨,ssp585,R32,0.126791260113264
2032,拉萨,ssp585,R290,0.06695124821718798
2033,沈阳,ssp126,R410A,0.8339615168307997
2033,沈阳,ssp126,R32,0.3531320517116521
2033,沈阳,ssp126,R290,0.297132672081046
2033,沈阳,ssp245,R410A,0.8996651948373693
2033,沈阳,ssp245,R32,0.4146927352697188
2033,沈阳,ssp245,R290,0.3641135509446655
2033,沈阳,ssp585,R410A,0.907218681379386
2033,沈阳,ssp585,R32,0.4221649552047367
2033,沈阳,ssp585,R290,0.3696857465888304
2033,长春,ssp126,R410A,0.774875280659183
2033,长春,ssp126,R32,0.2975892392023504
2033,长春,ssp126,R290,0.2447469293452983
2033,长春,ssp245,R410A,0.8092186476828109
2033,长春,ssp245,R32,0.3300091201888897
2033,长春,ssp245,R290,0.2802367773582805
2033,长春,ssp585,R410A,0.891198027845265
2033,长春,ssp585,R32,0.4073573635392949
2033,长春,ssp585,R290,0.364131216687298
2033,哈尔滨,ssp126,R410A,0.8573273772078026
2033,哈尔滨,ssp126,R32,0.3747826821738036
2033,哈尔滨,ssp126,R290,0.3149336908760051
2033,哈尔滨,ssp245,R410A,0.9189040512162135
2033,哈尔滨,ssp245,R32,0.4332196266475993
2033,哈尔滨,ssp245,R290,0.3794101106625025
2033,哈尔滨,ssp585,R410A,0.9950452254413881
2033,哈尔滨,ssp585,R32,0.5046209707921454
2033,哈尔滨,ssp585,R290,0.4592823853404354
2033,北京,ssp126,R410A,0.8980699382952332
2033,北京,ssp126,R32,0.4142478234132676
2033,北京,ssp126,R290,0.3756704614970005
2033,北京,ssp245,R410A,1.09674474126795
2033,北京,ssp245,R32,0.6020370687933575
2033,北京,ssp245,R290,0.603829711678127
2033,北京,ssp585,R410A,1.040573881888369
2033,北京,ssp585,R32,0.5486528170767304
2033,北京,ssp585,R290,0.5358979144100435
2033,天津,ssp126,R410A,1.358767515990396
2033,天津,ssp126,R32,0.84851397345097
2033,天津,ssp126,R290,0.8510760387255901
2033,天津,ssp245,R410A,1.506639304733252
2033,天津,ssp245,R32,0.9884928150259462
2033,天津,ssp245,R290,1.047499625234827
2033,天津,ssp585,R410A,1.391545316946961
2033,天津,ssp585,R32,0.8791886398851297
2033,天津,ssp585,R290,0.9068654038861119
2033,石家庄,ssp126,R410A,1.601957258119212
2033,石家庄,ssp126,R32,1.079138126101701
2033,石家庄,ssp126,R290,1.120292534562776
2033,石家庄,ssp245,R410A,1.784564161112484
2033,石家庄,ssp245,R32,1.251308178283761
2033,石家庄,ssp245,R290,1.363975303772304
